company,robot_model,deployment_partner_site,sector,country,first_public_evidence_date,first_evidence_url,source_quality_tier,current_stage,stage_evidence,fleet_size,tasks,hours_throughput_claims,human_oversight,outcome_6mo,outcome_12mo,outcome_18mo,notes_conflicts,record_id,paid_commitment_verified,on_site_verified,partner_confirmed,delivery_verified,continued_beyond_evaluation,conversion_tier,related_party,related_party_type,internal_maker_use,pilot_demo_date,pilot_demo_evidence_url,commitment_date,commitment_evidence_url,operational_evidence_source,last_affirmative_report_date
Persona AI,Persona humanoid,POSCO steelworks (with POSCO DX),Steel manufacturing,South Korea,2026-02-05,https://newsroom.posco.com/en/posco-group-to-implement-humanoid-robots-for-steel-product-logistics-management-at-steelworks/,partner_statement,testing,2026-02-03 MOU signed; testing of humanoid in steel coil logistics management to begin Feb 2026 (POSCO newsroom 2026-02-05); 2026-03-08 POSCO DX first port-side trial (thelec.net),,Attach crane belts to 20-40 ton steel coils alongside workers,,,PoC begins,,,POSCO Investment put $3M into Persona (2025) - investor relationship caveat,HPR-029,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,strategic partnership (POSCO DX partnership with Persona AI),FALSE,,,,,,
Persona AI,Persona humanoid,"SSE Steel Fabrication, St. Bernard Parish LA",Steel fabrication,USA (Louisiana),2026-01-22,https://www.globenewswire.com/news-release/2026/01/22/3224229/0/en/State-of-Louisiana-and-Persona-AI-Launch-Humanoid-Pilot-at-SSE-Steel-Fabrication.html,press_release,pilot_on_site,2026-01-22 MOU with State of Louisiana + SSE Steel: pilot collecting real-world human movement/task data in live fabrication facility (GlobeNewswire),,Data collection for humanoid welder training; fabrication tasks,,,Pilot launched,,,State-backed pilot (Louisiana Economic Development) - unusual public-private structure,HPR-030,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
AgiBot (Zhiyuan Robotics),A2-W (wheeled dual-arm),Fulin Precision factories,Auto parts manufacturing,China,2025-08-11,https://www.scmp.com/tech/tech-trends/article/3321456/chinese-robotics-start-agibot-lands-deal-deploy-100-robots-car-parts-factories,independent_reporting,paid_deployment,"2025-07 live demo at Fulin Precision met monthly line target in a single shift (per AgiBot blog, cited by SCMP); 2025-08-11 order for ~100 A2-W robots reported (SCMP); 2025-10-17 AgiBot PR claims ~100-unit deployment live across multiple production areas (kingnewswire.com, vendor release quoting Fulin engineering director Deng Yang; no independent confirmation) v1.1 recode (2026-09-26): evaluated against the frozen four-gate rule. Paid commitment: Aug 2025 order for ~100 A2-W units (SCMP, independent). Site-level deployment: Mianyang smart factory named; Xinhua Finance journalists (2025-11-15) observed robots working at multiple line positions; Fulin GM Wang Jun confirmed the deployment to the press (partner-issued via independent journalism). Continuation: ongoing operation with co-located AgiBot/Fulin teams; no affirmative ending by the cutoff. All four frozen gates pass -> qualifying_conversion. delivery_verified=FALSE is a separate v1.1 sensitivity field (not a tier gate): the report confirms operation but does not verify delivery of the full ~100-unit scope. Direct URL of the Xinhua Finance report (republished): https://finance.eastmoney.com/a/202511153565377982.html",~100 robots (order),"Loading, unloading, transport; raw material delivery","500 units/shift supported; ~10,000 box-moving actions per shift (vendor claim via SCMP)",Frees human workers from repetitive box-moving,"Order for ~100 A2-W units placed Aug 11, 2025 (~1 month after July live demo); Xinhua Finance journalists (Nov 15, 2025) observed robots depalletizing and loading at the Mianyang smart factory; Fulin GM Wang Jun confirmed deployment at multiple line positions","No later affirmative operation report found by the Sep 20, 2026 cutoff; silence is not treated as evidence of continuation or of ending",,Wheeled form factor (not legged) - definitional flag for 'humanoid' registry. Order confirmed Aug 2025; delivery claimed only by vendor PR (Oct 2025) with no independent confirmation | Gate 4 (continuation) evaluated as of the last verified report (2025-11-15): operation beyond the initial demo/order phase observed at multiple line positions with co-located teams.,HPR-031,TRUE,TRUE,TRUE,FALSE,TRUE,qualifying_conversion,FALSE,,FALSE,2025-07,https://www.scmp.com/tech/tech-trends/article/3321456/chinese-robotics-start-agibot-lands-deal-deploy-100-robots-car-parts-factories,2025-08-11,https://www.scmp.com/tech/tech-trends/article/3321456/chinese-robotics-start-agibot-lands-deal-deploy-100-robots-car-parts-factories,independent,2025-11-15
AgiBot (Zhiyuan Robotics),A2 series,Longcheer production line (humanoid-led mass production),Electronics manufacturing,China,2026-04-14,https://www.humanoidsdaily.com/news/the-era-of-embodied-agi-begins-agibot-and-longcheer-deploy-world-s-first-humanoid-led-mass-production-line,independent_reporting,pilot_on_site,2026-04-14 AgiBot + Longcheer deploy 'world's first humanoid-led mass production line' (humanoidsdaily); 2026-07-21 WAIC showing points to factory deployment as proof (industrialroboticshub),,Production-line tasks,,,,Deployment claimed at WAIC 2026,,Mid-low tier sources; vendor-adjacent framing ('world's first'),HPR-032,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Kepler Robotics,Forerunner K2 'Bumblebee',Shanghai automotive plant (undisclosed),Automotive manufacturing,China (Shanghai),2025-04-30,https://inspenet.com/en/news/keplers-k2-humanoid-robot-begins-industrial-testing-at-shanghai-auto-plant/,independent_reporting,testing,2025-04-30 K2 begins industrial testing at Shanghai auto plant (inspenet); 2025-08-01 8-hour livestream at WAIC (PRNewswire); 2025-09-29 mass production launched (roboticsbusinessnews - PR-based),,Industrial testing tasks,,,Industrial testing begins,Mass production claimed (Sep 2025),,All sources PR-derived or low tier; no named paying customer,HPR-033,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
EngineAI,T800,Luxshare-ICT Suzhou factory,Electronics manufacturing,China (Jiangsu),2026-08-18,https://www.linkedin.com/posts/humanoid-robotics-technology_engineai-t800-deployed-at-luxshareict-activity-7495474790053384192-WP3I,vendor_claim,pilot_on_site,"2026-05-29 EngineAI launches Shenzhen manufacturing base, first T800 batch rolls off line for mass delivery (PRNewswire); 2026-08-18 T800 shown deployed at Luxshare Suzhou (LinkedIn post - weak); 2026-07 second factory in Zhengzhou (embodiedglobal)",,Factory tasks (showcased),,,,,T800 mass delivery + Luxshare showcase,Evidence is social-media grade; include only with flag,HPR-034,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
XPeng,IRON,XPeng Guangzhou humanoid production facility (internal),Automotive/robot manufacturing,China (Guangdong),2026-09-07,https://electrek.co/2026/09/07/xpeng-iron-humanoid-robot-production-line/,independent_reporting,testing,2026-09-07/08 IRON walks off new automated production line (electrek; XPeng pressroom 2026-09-08; prnewswire); first robots to XPeng's own stores/campuses; mass production target end-2026; external sales from 2027,,"Internal use first (stores, campuses)",,Claimed no teleoperation (onboard foundation model),,,,Earlier (2024 AI Day) XPeng claimed IRON already working on its assembly line - unverified. No external industrial customer yet,HPR-035,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,TRUE,,,,,,
Boston Dynamics,"Atlas (electric, next-gen)","Hyundai Motor Group Metaplant America, Georgia (planned 2028)",Automotive manufacturing,USA (Georgia),2026-01-05,https://www.koreaherald.com/article/10649929,partner_statement,announced,"2026-01-05/06 CES 2026: Hyundai physical AI strategy, Atlas production model debut; deployment at HMGMA from 2028 starting with parts sequencing (Korea Herald; The Verge; BBC; hyundainews.com); Atlas production begun in Boston, 2026 volume fully allocated to Hyundai + Google DeepMind; RMAC training center opens 2026; 2025-11-28 Asia Business: BD begins deploying humanoids at Hyundai plant; 2026-05-20 Korea Herald: Hyundai plan to deploy 25,000 Atlas robots across factories (long-term)","Up to 30,000 units production projected by 2028 (BD projection); 25,000-robot Hyundai plan (Korea Herald)",Parts sequencing first; later heavy-load/high-risk tasks,,Google DeepMind partnership includes teleoperation for training,,,,"Parent-company deployment - Hyundai moved to 100% ownership of Boston Dynamics (July 2026); not an arm's-length conversion, exclude or flag in conversion analysis. RMAC training testbed at HMGMA in pilot since June 2026 (opened Sept 2026, Aju Press) - training only, not production deployment",HPR-036,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,ownership (Hyundai Motor Group owns Boston Dynamics),FALSE,,,,,,
Reflex Robotics,Reflex humanoid,GXO warehouse (sports apparel customer),Contract logistics,USA,2025-04-08,https://www.businessinsider.com/gxo-brings-humanoid-robots-to-warehouses-2025-4,independent_reporting,pilot_on_site,"2025-04-08 Business Insider: Reflex humanoid working at GXO with sports apparel customer, moving empty corrugated from Locus Robotics robot to recycling machine",,Corrugated cardboard recycling support,,,Pilot running,,,Second non-Agility humanoid inside GXO's incubator program,HPR-037,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Galbot,G1 / S1,CATL battery production line,Battery manufacturing,China,2026-06-30,https://manufacturingdigital.com/news/catl-galbots-s1-humanoid-robot-on-battery-production-line,independent_reporting,pilot_on_site,"2026-06-30 S1 on CATL battery production line (manufacturingdigital); 2026-07-20 Galbot across retail/factory at WAIC (theroboticsmedia); 2026-07-10 $300M raise + 1,000-unit pact with Patek Precision (embodiedglobal)","1,000-unit pact with Patek Precision (intent)",Battery production-line tasks,,,,Line deployment claimed,,Mid-low tier sources; CATL reported as Galbot investor - caveat,HPR-038,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,strategic partnership (CATL strategic partner of Galbot),FALSE,,,,,,
